date,city,house_price,attached_price,earnings_state,cpi,house_price_real,attached_price_real,earnings_state_real,annual_earnings_real,annual_earnings_nominal,pti_house_real,pti_attached_real,pti_house_nominal,pti_attached_nominal
2013-12-01,melbourne,561000.0,467000.0,1434.0,73.08,770420.0,641330.0,1969.3,102403.59999999999,74568.0,7.523368319082533,6.262768105808781,7.523334406179594,6.262740049350928
2014-03-01,melbourne,504000.0,475500.0,1430.0,73.45,688650.0,649710.0,1953.91,101603.32,74360.0,6.777829700840484,6.39457450799836,6.777837547068316,6.394566971490049
2014-06-01,melbourne,528900.0,479000.0,1427.0,73.89,718370.0,650590.0,1938.2,100786.40000000001,74204.0,7.127648174753736,6.455136804171991,7.127648105223438,6.455177618457226
2014-09-01,melbourne,505000.0,478500.0,1437.0,73.98,685070.0,649120.0,1949.41,101369.32,74724.0,6.758159174787795,6.403515383155376,6.75820352229538,6.403565119640276
2014-12-01,melbourne,552500.0,490000.0,1447.0,74.14,747890.0,663290.0,1958.74,101854.48,75244.0,7.342730530851466,6.51213378144977,7.342778161713891,6.512147147945351
2015-03-01,melbourne,525000.0,480800.0,1448.0,74.21,710000.0,650220.0,1958.24,101828.48,75296.0,6.972509066225873,6.385443443720264,6.972481937951551,6.385465363365916
2015-06-01,melbourne,561000.0,515000.0,1450.0,74.72,753510.0,691720.0,1947.56,101273.12,75400.0,7.440375096570541,6.830242812702917,7.440318302387268,6.8302387267904505
2015-09-01,melbourne,580000.0,500000.0,1465.0,75.06,775500.0,668530.0,1958.8,101857.59999999999,76180.0,7.613570317776976,6.563378677683355,7.61354686269362,6.563402467839328
2015-12-01,melbourne,612300.0,505000.0,1479.0,75.5,813910.0,671280.0,1965.99,102231.48,76908.0,7.961442013751538,6.5662748891046085,7.9614604462474645,6.566286992250481
2016-03-01,melbourne,568000.0,490000.0,1492.0,75.44,755630.0,651860.0,1984.85,103212.2,77584.0,7.3211306415326876,6.31572624166523,7.321097133429573,6.3157352031346665
2016-06-01,melbourne,610000.0,505000.0,1504.0,75.77,807970.0,668890.0,1992.1,103589.2,78208.0,7.7997513254277475,6.457140319647222,7.799713584288052,6.457139934533552
2016-09-01,melbourne,605000.0,496000.0,1525.0,76.13,797550.0,653860.0,2010.36,104538.72,79300.0,7.629230585566764,6.254715955963493,7.629255989911727,6.254728877679697
2016-12-01,melbourne,675000.0,501900.0,1546.0,76.66,883680.0,657070.0,2023.96,105245.92,80392.0,8.39633498381695,6.243187384366064,8.396357846551895,6.243158523236143
2017-03-01,melbourne,657500.0,520000.0,1549.0,77.32,853420.0,674950.0,2010.57,104549.64,80548.0,8.162821029321574,6.455785022310933,8.162834583105726,6.455777921239509
